id	Accession	Gene.name	Protein.description	Protein.IDs	Majority.protein.IDs	Fasta.headers	Number.of.proteins	Peptides	Razor.and.unique.peptides	Unique.peptides	Sequence.coverage.percent	Mol.weight.kDa	Sequence.length	Q.value	Score	Intensity	MS.MS.count	Mock_01	Mock_02	Mock_03	BTX_01	BTX_02	BTX_03	Mock_01.norm	Mock_02.norm	Mock_03.norm	BTX_01.norm	BTX_02.norm	BTX_03.norm	log2FC	p.mod	p.adj.BH	Candidate
710	F1LMW7	Marcks	Myristoylated alanine-rich C-kinase substrate	tr|F1LMW7|F1LMW7_RAT;sp|P30009|MARCS_RAT	tr|F1LMW7|F1LMW7_RAT;sp|P30009|MARCS_RAT	tr|F1LMW7|F1LMW7_RAT Myristoylated alanine-rich C-kinase substrate OS=Rattus norvegicus OX=10116 GN=Marcks PE=1 SV=3;sp|P30009|MARCS_RAT Myristoylated alanine-rich C-kinase substrate OS=Rattus norvegicus OX=10116 GN=Marcks PE=1 SV=2	2	12	12	11	45.3	29.959	309	0	323.31	1988700000	27	17.8302180810277	17.5570448092836	17.539734368449	17.5629429678458	17.3126525536877	17.8769365524799	0.0811885582392458	-0.00281937065796883	0.00373569439520544	-0.00657616804950389	-0.065888110198876	0.0698513420119605	0.0282392727376339	0.57964796196477	0.77505336557329	FALSE
713	P30349	Lta4h	Leukotriene A-4 hydrolase	sp|P30349|LKHA4_RAT;tr|Q499P2|Q499P2_RAT	sp|P30349|LKHA4_RAT;tr|Q499P2|Q499P2_RAT	sp|P30349|LKHA4_RAT Leukotriene A-4 hydrolase OS=Rattus norvegicus OX=10116 GN=Lta4h PE=2 SV=2;tr|Q499P2|Q499P2_RAT Leukotriene A(4) hydrolase OS=Rattus norvegicus OX=10116 GN=Lta4h PE=1 SV=1	2	9	9	9	14.1	69.175	610	0	62.82	179570000	12	14.8845521339872	14.5847276679639	14.5203117437552	14.6258229758157	14.5184072766714	15.0388761329333	0.0394605272249793	-0.0711985959514531	-0.111749014272393	-0.0397582440534366	0.0438045288110127	0.135728838491555	-0.0944207354159994	0.175647068471402	0.441321607779097	FALSE
714	P30835	Pfkl	ATP-dependent 6-phosphofructokinase, liver type	sp|P30835|PFKAL_RAT	sp|P30835|PFKAL_RAT	sp|P30835|PFKAL_RAT ATP-dependent 6-phosphofructokinase, liver type OS=Rattus norvegicus OX=10116 GN=Pfkl PE=1 SV=3	1	15	9	9	23.2	85.338	780	0	100.42	339440000	12	16.1258372079894	15.8861728720196	15.9472716524603	16.0007482744114	15.698270577692	16.2234549810055	-0.0176342600371013	-0.0681332531600051	0.0168310331685873	0.0367871932780671	-0.0747120314325327	0.0219278252994942	-0.0176464890578493	0.710164039633562	0.855719178318487	FALSE
715	G3V9W6	Aldh3a2	Aldehyde dehydrogenase	tr|G3V9W6|G3V9W6_RAT;sp|P30839|AL3A2_RAT;tr|A0A0G2JY43|A0A0G2JY43_RAT;sp|P11883|AL3A1_RAT	tr|G3V9W6|G3V9W6_RAT;sp|P30839|AL3A2_RAT;tr|A0A0G2JY43|A0A0G2JY43_RAT	tr|G3V9W6|G3V9W6_RAT Aldehyde dehydrogenase OS=Rattus norvegicus OX=10116 GN=Aldh3a2 PE=1 SV=1;sp|P30839|AL3A2_RAT Fatty aldehyde dehydrogenase OS=Rattus norvegicus OX=10116 GN=Aldh3a2 PE=1 SV=1;tr|A0A0G2JY43|A0A0G2JY43_RAT Fatty aldehyde dehydrogenase OS=	4	10	10	10	21.1	54.107	484	0	70.8	189300000	11	15.2201137690387	15.0174609038594	14.8753654006418	15.0204591416995	14.9121408562957	15.2416480505156	0.0175267982779415	0.00403927594544134	-0.114190721384327	-0.00261744216814808	0.0800427444368195	-0.0189946079246676	-0.0503517805016493	0.360389617187937	0.619202961616716	FALSE
716	P30904	Mif	Macrophage migration inhibitory factor	sp|P30904|MIF_RAT;tr|D3ZE63|D3ZE63_RAT;tr|D4A3P7|D4A3P7_RAT;tr|F1LTZ6|F1LTZ6_RAT	sp|P30904|MIF_RAT;tr|D3ZE63|D3ZE63_RAT	sp|P30904|MIF_RAT Macrophage migration inhibitory factor OS=Rattus norvegicus OX=10116 GN=Mif PE=1 SV=4;tr|D3ZE63|D3ZE63_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=4 SV=1	4	7	7	7	60.9	12.477	115	0	78.205	2638500000	25	16.1601077731026	16.1334834150329	15.8905255423091	16.092034456418	16.0994710983531	16.3473272358467	-0.12034690747491	0.0421940773022748	-0.176898289533632	-0.00890983726634276	0.189505276677516	0.00881686758969219	-0.148154475569044	0.106650669300696	0.351670470428643	FALSE
717	P30919	Aga	N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase	sp|P30919|ASPG_RAT	sp|P30919|ASPG_RAT	sp|P30919|ASPG_RAT N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase OS=Rattus norvegicus OX=10116 GN=Aga PE=1 SV=2	1	2	2	2	13	37.167	345	0	15.69	3729900	2	10.3925320935687	10.0225065270366	9.65074661146545	9.66359368195469	9.63164999294502	10.5382859493041	0.286024452240518	0.105164228555361	-0.242730181127994	-0.263403572480316	-0.10436878948122	0.373722620296475	0.0475027471109822	0.818831037349615	0.913375336732994	FALSE
718	P31016	Dlg4	Disks large homolog 4	sp|P31016|DLG4_RAT;tr|A0A0G2K7F5|A0A0G2K7F5_RAT	sp|P31016|DLG4_RAT;tr|A0A0G2K7F5|A0A0G2K7F5_RAT	sp|P31016|DLG4_RAT Disks large homolog 4 OS=Rattus norvegicus OX=10116 GN=Dlg4 PE=1 SV=1;tr|A0A0G2K7F5|A0A0G2K7F5_RAT Disks large homolog 4 OS=Rattus norvegicus OX=10116 GN=Dlg4 PE=1 SV=1	2	45	45	40	64.4	80.464	724	0	323.31	6406600000	89	19.4242729251354	19.23661687118	19.2294760189341	19.2409776185643	19.0062110072587	19.5251231322686	-0.00107636921055521	0.000432919680893151	0.0171575733228304	-0.0048612888885593	-0.0486494281854287	0.041718150243128	0.00943556354134276	0.805411306002809	0.905128896269823	FALSE
719	P31044	Pebp1	Phosphatidylethanolamine-binding protein 1	sp|P31044|PEBP1_RAT	sp|P31044|PEBP1_RAT	sp|P31044|PEBP1_RAT Phosphatidylethanolamine-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Pebp1 PE=1 SV=3	1	10	10	10	77.5	20.801	187	0	323.31	7675800000	41	17.6265646186946	17.412371369969	17.4158407785529	17.5059510788026	17.2670060899952	17.652844973002	-0.00155511773075556	-0.0265830236095385	0.000751890862241533	0.0573417292703921	0.00937521247169237	-0.0333304511029075	-0.0202575803724098	0.604158831555639	0.788351350193778	FALSE
721	P31399	Atp5pd	ATP synthase subunit d, mitochondrial	sp|P31399|ATP5H_RAT	sp|P31399|ATP5H_RAT	sp|P31399|ATP5H_RAT ATP synthase subunit d, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5pd PE=1 SV=3	1	11	11	11	81.4	18.763	161	0	323.31	10510000000	55	20.0547049961802	19.5910547740368	19.545835526417	19.8244491541189	19.4052412035381	20.1082743075133	0.163326084121033	-0.111158795175539	-0.132512536907475	0.112580628952833	-0.11564884961918	0.158839707774588	-0.0787055783567407	0.484920297695093	0.711747949869194	FALSE
722	P31421	Grm2	Metabotropic glutamate receptor 2	sp|P31421|GRM2_RAT	sp|P31421|GRM2_RAT	sp|P31421|GRM2_RAT Metabotropic glutamate receptor 2 OS=Rattus norvegicus OX=10116 GN=Grm2 PE=1 SV=1	1	7	6	6	9.3	95.773	872	0	63.409	169560000	6	15.1777309670333	15.0473369598042	15.0546043179607	15.1310128914396	14.8466656818997	15.2674450883881	-0.0486997351560158	0.0100716004617866	0.0412044645060927	0.0840925761435008	-0.00927616138764564	-0.0170413014806597	-0.0183995944877773	0.694977866078518	0.846060010878196	FALSE
723	P31422	Grm3	Metabotropic glutamate receptor 3	sp|P31422|GRM3_RAT;tr|A0A0G2JV93|A0A0G2JV93_RAT	sp|P31422|GRM3_RAT;tr|A0A0G2JV93|A0A0G2JV93_RAT	sp|P31422|GRM3_RAT Metabotropic glutamate receptor 3 OS=Rattus norvegicus OX=10116 GN=Grm3 PE=1 SV=1;tr|A0A0G2JV93|A0A0G2JV93_RAT Metabotropic glutamate receptor 3 OS=Rattus norvegicus OX=10116 GN=Grm3 PE=1 SV=1	2	13	13	12	17	98.959	879	0	96.863	313750000	16	16.2832511680661	16.0978263921119	16.2140154914108	16.1900947301053	15.9635960412934	16.4665863377192	-0.0680232546431212	-0.0642826877504223	0.0757719174363685	0.0183306942892704	-0.0171895225139247	0.0572562273305644	-0.038310474687695	0.480693166652155	0.710290797235564	FALSE
724	P31423	Grm4	Metabotropic glutamate receptor 4	sp|P31423|GRM4_RAT;sp|P35349|GRM6_RAT	sp|P31423|GRM4_RAT	sp|P31423|GRM4_RAT Metabotropic glutamate receptor 4 OS=Rattus norvegicus OX=10116 GN=Grm4 PE=1 SV=1	2	5	5	5	6.9	101.82	912	0	88.702	52851000	5	13.9849524277324	13.7594721212028	13.8101699376647	13.7518578362406	13.6438561897747	14.0430272835945	-0.0010887105831443	-0.0374036742657968	0.0371596480838557	-0.0546729151817299	0.0283039103611178	-0.00106954240046159	0.00870193681866278	0.83280891743567	0.92242730915436	FALSE
725	P31424	Grm5	Metabotropic glutamate receptor 5	sp|P31424|GRM5_RAT;tr|A0A0H2UHW6|A0A0H2UHW6_RAT;tr|A0A0H2UHN1|A0A0H2UHN1_RAT	sp|P31424|GRM5_RAT;tr|A0A0H2UHW6|A0A0H2UHW6_RAT;tr|A0A0H2UHN1|A0A0H2UHN1_RAT	sp|P31424|GRM5_RAT Metabotropic glutamate receptor 5 OS=Rattus norvegicus OX=10116 GN=Grm5 PE=1 SV=2;tr|A0A0H2UHW6|A0A0H2UHW6_RAT Metabotropic glutamate receptor 5 OS=Rattus norvegicus OX=10116 GN=Grm5 PE=1 SV=1;tr|A0A0H2UHN1|A0A0H2UHN1_RAT Metabotropic gl	3	8	7	7	6.5	131.88	1203	0	71.181	90722000	7	15.4702775617705	15.3803934202623	15.2950514255576	15.3560048415505	15.2239262805559	15.6804694138318	-0.0815485171172094	0.0177326842214268	-0.0437438045954221	-0.0163108504441335	0.0425890605700205	0.0705876472646048	-0.0681418316272322	0.161377569332925	0.423593928562812	FALSE
726	P31596	Slc1a2	Excitatory amino acid transporter 2	sp|P31596|EAA2_RAT	sp|P31596|EAA2_RAT	sp|P31596|EAA2_RAT Excitatory amino acid transporter 2 OS=Rattus norvegicus OX=10116 GN=Slc1a2 PE=1 SV=2	1	13	13	7	26.9	62.106	573	0	323.31	9083100000	101	18.9952095619669	18.9096763164282	18.7364151446869	18.7918560318349	18.6804762816988	19.089543584578	-0.0192182939576095	0.0844138033506048	-0.0649818625029097	-0.0430614371964196	0.036537284676236	0.0170600409740037	-0.00344074718791146	0.947294693397341	0.977371582356828	FALSE
727	P31647	Slc6a11	Sodium- and chloride-dependent GABA transporter 3	sp|P31647|S6A11_RAT	sp|P31647|S6A11_RAT	sp|P31647|S6A11_RAT Sodium- and chloride-dependent GABA transporter 3 OS=Rattus norvegicus OX=10116 GN=Slc6a11 PE=1 SV=1	1	9	9	9	12.8	69.946	627	0	128.67	880220000	14	17.1956605637862	16.9674739530663	17.039390325237	17.0199815790509	16.5860627700206	17.1213109120072	0.0191889091716601	-0.0198323587013221	0.0759495193572308	0.0230203113295389	-0.219920025692003	-0.113216430286819	0.128474071492284	0.102758273209022	0.347087051564411	FALSE
728	P31662	Slc6a17	Sodium-dependent neutral amino acid transporter SLC6A17	sp|P31662|S6A17_RAT	sp|P31662|S6A17_RAT	sp|P31662|S6A17_RAT Sodium-dependent neutral amino acid transporter SLC6A17 OS=Rattus norvegicus OX=10116 GN=Slc6a17 PE=1 SV=1	1	10	10	10	19.3	81.054	727	0	234.71	533540000	20	16.4396361225851	16.1875840488206	16.0369462779514	16.1435625830247	16.1170748715162	16.4643702526041	0.04788479310014	-0.0150019378174783	-0.141774202798901	-0.068678359567064	0.0958124009331034	0.0145632354396231	-0.0501962081073004	0.4722121690009	0.703207017982973	FALSE
729	A0A0G2K890	Ezr	Ezrin	tr|A0A0G2K890|A0A0G2K890_RAT;sp|P31977|EZRI_RAT	tr|A0A0G2K890|A0A0G2K890_RAT;sp|P31977|EZRI_RAT	tr|A0A0G2K890|A0A0G2K890_RAT Ezrin OS=Rattus norvegicus OX=10116 GN=Ezr PE=1 SV=1;sp|P31977|EZRI_RAT Ezrin OS=Rattus norvegicus OX=10116 GN=Ezr PE=1 SV=3	2	21	21	15	29.1	69.287	585	0	156.57	629450000	25	17.6675412477	17.4909135358661	17.5299337746478	17.3783964696587	16.9955684310316	17.5485660674373	0.0546683371598684	0.0672059681727729	0.130091712842359	-0.0549660539883258	-0.246815620606629	-0.122362530782359	0.225370074517438	0.00684647410574245	0.0915819856087978	FALSE
730	P32089	Slc25a1	Tricarboxylate transport protein, mitochondrial	sp|P32089|TXTP_RAT	sp|P32089|TXTP_RAT	sp|P32089|TXTP_RAT Tricarboxylate transport protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Slc25a1 PE=1 SV=1	1	10	10	10	31.2	33.835	311	0	77.942	1123100000	26	16.2263181074588	16.0946344281605	15.9423312245106	16.1448971853407	16.0636689313989	16.393641834539	-0.077074647273147	-0.01959298372455	-0.148030681486668	0.0210148175018433	0.130765035568888	0.0321933921275642	-0.142890519227553	0.0284208853155149	0.202813401905964	FALSE
731	P32198	Cpt1a	Carnitine O-palmitoyltransferase 1, liver isoform	sp|P32198|CPT1A_RAT	sp|P32198|CPT1A_RAT	sp|P32198|CPT1A_RAT Carnitine O-palmitoyltransferase 1, liver isoform OS=Rattus norvegicus OX=10116 GN=Cpt1a PE=1 SV=2	1	10	10	10	13.7	88.124	773	0	68.107	171450000	12	16.0859910523416	15.7998886886636	15.7855290965258	15.9211668402422	15.934750528383	16.2185443169642	-0.00749194581107915	-0.104428966642212	-0.0949230528922035	0.00719422898262179	0.211756389132192	0.0670056311320558	-0.164266738197455	0.0364816238155586	0.221572215232731	FALSE
732	P32232	Cbs	Cystathionine beta-synthase	sp|P32232|CBS_RAT	sp|P32232|CBS_RAT	sp|P32232|CBS_RAT Cystathionine beta-synthase OS=Rattus norvegicus OX=10116 GN=Cbs PE=1 SV=3	1	8	8	8	15.7	61.454	561	0	69.768	386730000	9	15.0021997001195	14.9027990417257	14.8990736434692	15.005010431073	14.7230742770409	15.1281554709392	-0.0901663406011087	-0.000401656148003859	0.0197384514832901	0.0921547772455307	0.00119709522214484	-0.0222662574608757	-0.0473050534242074	0.369445576077261	0.625652579886864	FALSE
733	P32551	Uqcrc2	Cytochrome b-c1 complex subunit 2, mitochondrial	sp|P32551|QCR2_RAT	sp|P32551|QCR2_RAT	sp|P32551|QCR2_RAT Cytochrome b-c1 complex subunit 2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Uqcrc2 PE=1 SV=2	1	24	24	24	51.8	48.396	452	0	323.31	16631000000	88	19.7338858837278	19.5093961605604	19.4662278497381	19.5752216133353	19.4144787914583	19.80442096326	-0.00731882241816773	-0.0426432027386316	-0.061946007673175	0.0135272940825569	0.0437629442142957	0.00516056943456183	-0.0581196135204629	0.134232622342275	0.390408964981407	FALSE
735	P32736	Opcml	Opioid-binding protein/cell adhesion molecule	sp|P32736|OPCM_RAT;tr|A0A0G2K657|A0A0G2K657_RAT;tr|F1M2I5|F1M2I5_RAT	sp|P32736|OPCM_RAT;tr|A0A0G2K657|A0A0G2K657_RAT;tr|F1M2I5|F1M2I5_RAT	sp|P32736|OPCM_RAT Opioid-binding protein/cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Opcml PE=1 SV=2;tr|A0A0G2K657|A0A0G2K657_RAT Opioid-binding protein/cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Opcml PE=4 SV=1;tr|F1M2I5|F1M2I5_R	3	11	11	7	31.9	38.067	345	0	293.26	1923100000	27	18.419631058412	18.2894245635024	18.322192236057	18.3254899266587	18.1434529712645	18.5997240106093	-0.0892694275594217	-0.0303105796221876	0.0263225988202483	-0.00390017241960094	0.00504134419494662	0.0327678369583544	-0.0423888056983537	0.339165687279672	0.599908844106096	FALSE
736	P32822		Trypsin V-B	sp|P32822|TRYB_RAT;sp|P32821|TRYA_RAT	sp|P32822|TRYB_RAT;sp|P32821|TRYA_RAT	sp|P32822|TRYB_RAT Trypsin V-B OS=Rattus norvegicus OX=10116 PE=2 SV=1;sp|P32821|TRYA_RAT Trypsin V-A OS=Rattus norvegicus OX=10116 PE=2 SV=1	2	1	1	1	8.1	26.819	246	0.0031673	9.7247	54605000	5	16.2893164856638	16.0778796930574	16.2247742319512	16.4119577888404	15.5701225296767	16.1950068732263	0.0108140001149192	-0.0114574496445812	0.159302595137103	0.312965690184704	-0.33789109697021	-0.141551300002017	0.108378617464988	0.528298893737791	0.739533460111956	FALSE
737	P32851	Stx1a	Syntaxin-1A	sp|P32851|STX1A_RAT;tr|Q7TS57|Q7TS57_RAT;tr|G3V632|G3V632_RAT;sp|P50279|STX2_RAT	sp|P32851|STX1A_RAT	sp|P32851|STX1A_RAT Syntaxin-1A OS=Rattus norvegicus OX=10116 GN=Stx1a PE=1 SV=1	4	19	15	15	53.1	33.067	288	0	323.31	1481500000	36	18.3915876386872	18.0061836079853	17.9957340328042	18.1110541413126	17.8066880649301	18.5152609394699	0.142553962034071	-0.0536847258209617	-0.0402687951141839	0.0415308515526252	-0.0718567528211388	0.208171575137282	-0.0430817442566143	0.639155138490301	0.812218683681521	FALSE
738	P33124	Acsl6	Long-chain-fatty-acid--CoA ligase 6	sp|P33124|ACSL6_RAT;tr|A0A0A6YYM0|A0A0A6YYM0_RAT	sp|P33124|ACSL6_RAT;tr|A0A0A6YYM0|A0A0A6YYM0_RAT	sp|P33124|ACSL6_RAT Long-chain-fatty-acid--CoA ligase 6 OS=Rattus norvegicus OX=10116 GN=Acsl6 PE=1 SV=1;tr|A0A0A6YYM0|A0A0A6YYM0_RAT Long-chain-fatty-acid--CoA ligase 6 OS=Rattus norvegicus OX=10116 GN=Acsl6 PE=1 SV=2	2	29	29	29	42.3	78.179	697	0	323.31	1828000000	52	18.3571138101773	18.2286777954285	18.1707955060341	18.2591179799686	18.0128536515091	18.4273865092804	-0.0261527915449282	0.0345765365532023	0.000559753046548039	0.0553617651394759	7.59086887409666e-05	-0.0139357801212942	-0.0108394652173668	0.779428890610644	0.891209343756737	FALSE
740	P34058	Hsp90ab1	Heat shock protein HSP 90-beta	sp|P34058|HS90B_RAT;tr|A0A0G2K793|A0A0G2K793_RAT	sp|P34058|HS90B_RAT;tr|A0A0G2K793|A0A0G2K793_RAT	sp|P34058|HS90B_RAT Heat shock protein HSP 90-beta OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=4;tr|A0A0G2K793|A0A0G2K793_RAT Heat shock protein HSP 90-beta OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=1	2	47	47	28	51.2	83.28	724	0	323.31	10053000000	136	20.3817372666325	20.087835732376	20.0940364369395	20.190630098583	19.8652318452641	20.4391856361285	0.0437644092765349	-0.0609717821331076	-0.0309055716817802	0.0321676281202215	-0.102252153189965	0.0431570910930165	-0.00706183685387515	0.899793770951499	0.955308039596322	FALSE
741	G3V8U9	Psmb4	Proteasome subunit beta	tr|G3V8U9|G3V8U9_RAT;sp|P34067|PSB4_RAT	tr|G3V8U9|G3V8U9_RAT;sp|P34067|PSB4_RAT	tr|G3V8U9|G3V8U9_RAT Proteasome subunit beta OS=Rattus norvegicus OX=10116 GN=Psmb4 PE=1 SV=2;sp|P34067|PSB4_RAT Proteasome subunit beta type-4 OS=Rattus norvegicus OX=10116 GN=Psmb4 PE=1 SV=2	2	3	3	3	19	25.76	232	0	72.554	44980000	3	15.3097250239299	15.0860532709957	15.0781508077347	15.1081160274119	14.813330278558	15.3131310389375	0.0290134267447602	-0.00549298334259424	0.010470059284214	0.00691481711988751	-0.0968924597252538	-0.0256362459271231	0.0498681304062898	0.250843450263263	0.521249534383535	FALSE
743	P34926	Map1a	Microtubule-associated protein 1A	sp|P34926|MAP1A_RAT	sp|P34926|MAP1A_RAT	sp|P34926|MAP1A_RAT Microtubule-associated protein 1A OS=Rattus norvegicus OX=10116 GN=Map1a PE=1 SV=1	1	78	78	1	33.9	299.53	2774	0	323.31	3440300000	122	20.3098582224196	20.0861517783772	20.1159123472771	19.7251898248055	19.3661087315007	19.95461096199	0.220560472846895	0.186019371651394	0.23964544643906	-0.184597537874101	-0.35270015917017	-0.192742475262189	0.458755154414603	0.000118162828282377	0.00736181555159451	FALSE
744	P35171	Cox7a2	Cytochrome c oxidase subunit 7A2, mitochondrial	sp|P35171|CX7A2_RAT	sp|P35171|CX7A2_RAT	sp|P35171|CX7A2_RAT Cytochrome c oxidase subunit 7A2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox7a2 PE=1 SV=1	1	3	3	3	30.1	9.3529	83	0	48.969	1346200000	16	17.18688801003	16.8494051009478	16.862177241133	16.8112743356065	16.6912527972947	17.1163439612375	0.126513362962775	-0.0218042032725491	0.0148334428005046	-0.069589924567581	0.00136700912941579	-0.00208637350921864	0.0632839638127046	0.25049604637827	0.521183209844964	FALSE
745	P35213	Ywhab	14-3-3 protein beta/alpha	sp|P35213|1433B_RAT	sp|P35213|1433B_RAT	sp|P35213|1433B_RAT 14-3-3 protein beta/alpha OS=Rattus norvegicus OX=10116 GN=Ywhab PE=1 SV=3	1	17	8	7	55.7	28.054	246	0	323.31	1048300000	21	17.214376044198	16.8356556908398	16.7389894416477	16.9397398925053	16.7443871298053	17.3793275956599	0.0978834960328452	-0.0916715144784676	-0.164472257782788	0.00275773123329082	-0.00161655945794514	0.204779359815202	-0.121393602606319	0.214659441203725	0.481693127350994	FALSE
746	P35234	Ptpn5	Tyrosine-protein phosphatase non-receptor type 5	sp|P35234|PTN5_RAT;tr|A0A0G2QC31|A0A0G2QC31_RAT	sp|P35234|PTN5_RAT;tr|A0A0G2QC31|A0A0G2QC31_RAT	sp|P35234|PTN5_RAT Tyrosine-protein phosphatase non-receptor type 5 OS=Rattus norvegicus OX=10116 GN=Ptpn5 PE=2 SV=2;tr|A0A0G2QC31|A0A0G2QC31_RAT Tyrosine-protein phosphatase non-receptor type 5 OS=Rattus norvegicus OX=10116 GN=Ptpn5 PE=1 SV=1	2	3	3	3	10.3	42.366	369	0	26.111	49405000	3	12.5576790845801	12.3923979280683	12.160942871253	12.1965406554632	12.0348333447949	12.9535235260624	0.0757163846758427	0.0996005710109759	-0.107988979916481	-0.105911657547827	-0.0766404962074524	0.413505138478694	-0.0545416696510258	0.723367396756659	0.864378256377577	FALSE
747	P35280	Rab8a	Ras-related protein Rab-8A	sp|P35280|RAB8A_RAT;tr|A0A0G2K553|A0A0G2K553_RAT	sp|P35280|RAB8A_RAT	sp|P35280|RAB8A_RAT Ras-related protein Rab-8A OS=Rattus norvegicus OX=10116 GN=Rab8a PE=1 SV=2	2	7	4	4	35.7	23.668	207	0	42.651	90333000	4	14.8875538288753	14.8552091524503	14.677719641641	14.7009814940463	14.6666678406904	15.2139395740777	-0.0760819352410078	0.0807387311808734	-0.0728852737406267	-0.0831438831769472	0.0735209354759157	0.192248122281816	-0.0836178841271817	0.342938695061802	0.603181448153569	FALSE
748	P35284	Rab12	Ras-related protein Rab-12	sp|P35284|RAB12_RAT;tr|D4A376|D4A376_RAT;tr|A0A0G2JYB0|A0A0G2JYB0_RAT	sp|P35284|RAB12_RAT;tr|D4A376|D4A376_RAT;tr|A0A0G2JYB0|A0A0G2JYB0_RAT	sp|P35284|RAB12_RAT Ras-related protein Rab-12 OS=Rattus norvegicus OX=10116 GN=Rab12 PE=1 SV=2;tr|D4A376|D4A376_RAT Ras-related protein Rab-12 OS=Rattus norvegicus OX=10116 GN=Rab12 PE=1 SV=3;tr|A0A0G2JYB0|A0A0G2JYB0_RAT Uncharacterized protein OS=Rattus	3	4	4	3	19.8	27.271	243	0	31.809	65485000	5	15.2994942390094	15.0514213862524	15.0158070358264	15.1274704592461	15.0851404617018	15.3607442267792	-0.00267627653698344	-0.0615837864470454	-0.0733326309852666	0.00481033059288338	0.153458805057318	0.000518023553377545	-0.098793284390958	0.109286671330142	0.354003100073321	FALSE
749	P35289	Rab15	Ras-related protein Rab-15	sp|P35289|RAB15_RAT	sp|P35289|RAB15_RAT	sp|P35289|RAB15_RAT Ras-related protein Rab-15 OS=Rattus norvegicus OX=10116 GN=Rab15 PE=2 SV=1	1	5	4	4	20.8	24.283	212	0	25.911	83015000	4	14.5198819224974	14.4020127657781	14.2303207156611	14.3030672138429	14.0203723238845	14.5242356118243	0.0454566752186659	0.116752861346221	-0.0310736828829406	0.00815235345729781	-0.0835640644923815	-0.00824532313394838	0.0715976292836593	0.204702934722632	0.469679511335817	FALSE
750	P35332	Hpcal4	Hippocalcin-like protein 4	sp|P35332|HPCL4_RAT	sp|P35332|HPCL4_RAT	sp|P35332|HPCL4_RAT Hippocalcin-like protein 4 OS=Rattus norvegicus OX=10116 GN=Hpcal4 PE=2 SV=2	1	6	4	4	42.9	22.245	191	0	45.699	28128000	5	16.0927364978143	15.8624920734875	16.03619508107	16.0345410698239	15.1439013303685	16.1403904422223	0.00412174514392949	-0.0369573363359809	0.160611177134314	0.125436704046652	-0.574224563399957	-0.00627999812753538	0.194281147807701	0.321061032029585	0.588697061669594	FALSE
751	P35400	Grm7	Metabotropic glutamate receptor 7	sp|P35400|GRM7_RAT;tr|F1LZS5|F1LZS5_RAT;tr|D3ZMI1|D3ZMI1_RAT	sp|P35400|GRM7_RAT;tr|F1LZS5|F1LZS5_RAT	sp|P35400|GRM7_RAT Metabotropic glutamate receptor 7 OS=Rattus norvegicus OX=10116 GN=Grm7 PE=1 SV=1;tr|F1LZS5|F1LZS5_RAT Metabotropic glutamate receptor 7 OS=Rattus norvegicus OX=10116 GN=Grm7 PE=3 SV=2	3	5	5	5	7	102.23	915	0	67.346	57624000	8	14.2559874897882	14.1045168543823	14.0341111460966	14.1808415655667	13.9828153651899	14.4421659722293	-0.0671080013352935	-0.0294132938942416	-0.0759534962921498	0.0372564613363575	0.0302087329683826	0.0610147934263747	-0.100318259750933	0.0210958383583514	0.174251624839983	FALSE
752	Q5RK10	Rpl13a	60S ribosomal protein L13a	tr|Q5RK10|Q5RK10_RAT;sp|P35427|RL13A_RAT;tr|A0A1W2Q6L2|A0A1W2Q6L2_RAT	tr|Q5RK10|Q5RK10_RAT;sp|P35427|RL13A_RAT;tr|A0A1W2Q6L2|A0A1W2Q6L2_RAT	tr|Q5RK10|Q5RK10_RAT 60S ribosomal protein L13a OS=Rattus norvegicus OX=10116 GN=Rpl13a PE=1 SV=1;sp|P35427|RL13A_RAT 60S ribosomal protein L13a OS=Rattus norvegicus OX=10116 GN=Rpl13a PE=1 SV=2;tr|A0A1W2Q6L2|A0A1W2Q6L2_RAT Predicted gene 45713 OS=Rattus n	3	7	7	7	26.6	23.446	203	0	44.128	105310000	8	15.371980784853	15.2146226863023	15.2685420003001	15.2540690120575	15.0738905083482	15.4864893868393	-0.0590722490405288	-0.0272650047442878	0.0505198151413255	0.00252636505709769	0.0133263333566142	-0.00261933473374826	-0.0163502674411516	0.694651646220617	0.846016568490878	FALSE
