Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Prep35	Razor + unique peptides Prep35	Unique peptides Prep35	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 Prep35	Reporter intensity corrected 2 Prep35	Reporter intensity corrected 3 Prep35	Reporter intensity corrected 4 Prep35	Reporter intensity corrected 5 Prep35	Reporter intensity corrected 6 Prep35	Reporter intensity 1 Prep35	Reporter intensity 2 Prep35	Reporter intensity 3 Prep35	Reporter intensity 4 Prep35	Reporter intensity 5 Prep35	Reporter intensity 6 Prep35	Reporter intensity count 1 Prep35	Reporter intensity count 2 Prep35	Reporter intensity count 3 Prep35	Reporter intensity count 4 Prep35	Reporter intensity count 5 Prep35	Reporter intensity count 6 Prep35	Sequence coverage Prep35 [%]	Intensity	Intensity Prep35	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P54645|AAPK1_RAT	sp|P54645|AAPK1_RAT	3	2	2	sp|P54645|AAPK1_RAT 5-AMP-activated protein kinase catalytic subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Prkaa1 PE=1 SV=2	1	3	2	2	3	2	2	7.3	4.3	4.3	63.973	559	559	12												2	0	13.51	5633.4	5237.3	4744.9	5355.1	5177.2	6232.3	5154.2	4960.7	4921.9	5364.7	5411.9	5941.4	1	1	1	1	1	1	5633.4	5237.3	4744.9	5355.1	5177.2	6232.3	5154.2	4960.7	4921.9	5364.7	5411.9	5941.4	1	1	1	1	1	1	7.3	13879000	13879000	2				886	4094;11437;22412	True;False;True	4176;11745;23156	5796;16148;31424	7908;21854;21855;42873	7908;21855;42873		
tr|Q99JD5|Q99JD5_RAT;sp|P54690|BCAT1_RAT	tr|Q99JD5|Q99JD5_RAT;sp|P54690|BCAT1_RAT	3;3	3;3	3;3	tr|Q99JD5|Q99JD5_RAT Branched-chain-amino-acid aminotransferase OS=Rattus norvegicus OX=10116 GN=Bcat1 PE=2 SV=1;sp|P54690|BCAT1_RAT Branched-chain-amino-acid aminotransferase, cytosolic OS=Rattus norvegicus OX=10116 GN=Bcat1 PE=1 SV=1	2	3	3	3	3	3	3	6.3	6.3	6.3	44.77	399	399;411	5.67	1						1		1				0	18.138	44583	39064	36917	34757	35213	45141	40788	37039	38053	35172	36836	42974	3	3	3	3	3	3	44583	39064	36917	34757	35213	45141	40788	37039	38053	35172	36836	42974	3	3	3	3	3	3	6.3	369530000	369530000	3				887	15255;17167;22135	True;True;True	15681;17641;22871	21470;23971;31067	29346;32669;42388	29346;32669;42388		
sp|P54777|PEX6_RAT	sp|P54777|PEX6_RAT	1	1	1	sp|P54777|PEX6_RAT Peroxisome assembly factor 2 OS=Rattus norvegicus OX=10116 GN=Pex6 PE=1 SV=1	1	1	1	1	1	1	1	1.7	1.7	1.7	104.43	978	978	7							1						0.003338	7.2968	864.94	610.08	370.5	647.12	504.07	832.38	791.18	576.48	404.89	635.41	540.66	788.52	1	1	1	1	1	1	864.94	610.08	370.5	647.12	504.07	832.38	791.18	576.48	404.89	635.41	540.66	788.52	1	1	1	1	1	1	1.7	1450000	1450000	1				888	23578	True	24345	32872	44715	44715		
sp|P54900|SCN2B_RAT	sp|P54900|SCN2B_RAT	4	4	4	sp|P54900|SCN2B_RAT Sodium channel subunit beta-2 OS=Rattus norvegicus OX=10116 GN=Scn2b PE=1 SV=1	1	4	4	4	4	4	4	21.4	21.4	21.4	24.144	215	215	5.8	1	2										2	0	67.04	88961	74476	65435	51715	66221	93921	81386	70568	67695	53129	69000	89222	6	6	6	6	6	6	88961	74476	65435	51715	66221	93921	81386	70568	67695	53129	69000	89222	6	6	6	6	6	6	21.4	191830000	191830000	6				889	7460;17100;26838;29013	True;True;True;True	7642;17572;27719;29967	10407;23887;23888;37479;40524	13950;32562;32563;50844;55049;55050	13950;32562;50844;55050		
sp|P54921|SNAA_RAT	sp|P54921|SNAA_RAT	16	12	12	sp|P54921|SNAA_RAT Alpha-soluble NSF attachment protein OS=Rattus norvegicus OX=10116 GN=Napa PE=1 SV=2	1	16	12	12	16	12	12	51.9	37.3	37.3	33.192	295	295	5.08	1	2	2		3	1			2		1		0	261.63	124620	110910	104180	99783	99791	135150	114010	105140	107460	100860	104710	128510	13	13	13	13	13	13	124620	110910	104180	99783	99791	135150	114010	105140	107460	100860	104710	128510	13	13	13	13	13	13	51.9	347250000	347250000	15				890	1207;7141;8649;10596;13928;14345;14801;14955;16008;16009;19489;19906;25138;26550;29026;29615	False;True;False;True;True;True;True;False;True;True;True;True;True;True;True;False	1219;7316;8862;10875;14312;14740;15211;15372;16455;16456;20162;20596;25953;27421;29980;30596	1672;10005;12192;14940;19712;20234;20848;21087;22487;22488;27465;28189;35057;37037;40540;41422	2267;13436;16378;20134;27007;27681;28549;28872;30743;30744;30745;37571;38649;47621;47622;50223;50224;55075;56352	2267;13436;16378;20134;27007;27681;28549;28872;30744;30745;37571;38649;47621;50223;55075;56352		
tr|F1LRC2|F1LRC2_RAT;sp|P55009|AIF1_RAT	tr|F1LRC2|F1LRC2_RAT;sp|P55009|AIF1_RAT	2;2	2;2	2;2	tr|F1LRC2|F1LRC2_RAT Allograft inflammatory factor 1 OS=Rattus norvegicus OX=10116 GN=Aif1 PE=1 SV=2;sp|P55009|AIF1_RAT Allograft inflammatory factor 1 OS=Rattus norvegicus OX=10116 GN=Aif1 PE=2 SV=1	2	2	2	2	2	2	2	19.2	19.2	19.2	16.823	146	146;147	5.5	1									1			0.00061237	12.033	2929.6	2747.6	2869.8	1828.6	2844.3	2871.4	2680.5	2608	2919.2	1916.8	2904.1	2749.7	1	1	1	1	1	1	2929.6	2747.6	2869.8	1828.6	2844.3	2871.4	2680.5	2608	2919.2	1916.8	2904.1	2749.7	1	1	1	1	1	1	19.2	12918000	12918000	2				891	14873;29670	True;True	15284;30653	20934;41494	28650;56447	28650;56447		
sp|P55051|FABP7_RAT	sp|P55051|FABP7_RAT	3	3	2	sp|P55051|FABP7_RAT Fatty acid-binding protein, brain OS=Rattus norvegicus OX=10116 GN=Fabp7 PE=1 SV=2	1	3	3	2	2	2	2	22.7	22.7	15.9	14.864	132	132	7.4							4		1				0	92.467	52616	49434	46915	37919	46462	56605	48141	46851	48213	38863	48146	53949	2	2	2	2	2	2	52616	49434	46915	37919	46462	56605	48141	46851	48213	38863	48146	53949	2	2	2	2	2	2	15.9	540920000	540920000	5				892	1618;17175;26687	True;True;True	1643;17649;17650	2286;23979;23980;23981;23982	3132;32679;32680;32681;32682	3132;32681	442	21
sp|P55053|FABP5_RAT	sp|P55053|FABP5_RAT	5	5	4	sp|P55053|FABP5_RAT Fatty acid-binding protein 5 OS=Rattus norvegicus OX=10116 GN=Fabp5 PE=1 SV=3	1	5	5	4	4	4	4	34.8	34.8	28.1	15.059	135	135	6.75		1			1				1		1		0	45.04	42494	36125	32683	35823	31070	47110	38876	34239	33904	35876	32993	44695	5	5	5	5	5	5	42494	36125	32683	35823	31070	47110	38876	34239	33904	35876	32993	44695	5	5	5	5	5	5	28.1	310220000	310220000	5				893	2500;6082;17416;17417;24716	True;True;True;True;True	6213;17896;17897;25512	8573;24311;24312;34434	11611;33151;33152;33153;46767	11611;33151;33153;46767		
sp|P55067|NCAN_RAT;tr|G3V8R2|G3V8R2_RAT	sp|P55067|NCAN_RAT;tr|G3V8R2|G3V8R2_RAT	4;4	4;4	4;4	sp|P55067|NCAN_RAT Neurocan core protein OS=Rattus norvegicus OX=10116 GN=Ncan PE=1 SV=1;tr|G3V8R2|G3V8R2_RAT Neurocan core protein OS=Rattus norvegicus OX=10116 GN=Ncan PE=1 SV=1	2	4	4	4	4	4	4	4.1	4.1	4.1	135.54	1257	1257;1263	6.75				1	1			1		1			0	29.187	28701	25168	23799	21202	24009	27595	26259	23864	24508	21566	24890	26337	3	3	3	3	3	3	28701	25168	23799	21202	24009	27595	26259	23864	24508	21566	24890	26337	3	3	3	3	3	3	4.1	88905000	88905000	4				894	6063;9105;20021;24862	True;True;True;True	6194;9330;20714;25663	8553;12846;28325;34639	11585;17281;38813;47041	11585;17281;38813;47041		
tr|F1M7U7|F1M7U7_RAT;sp|P55146|TYRO3_RAT	tr|F1M7U7|F1M7U7_RAT;sp|P55146|TYRO3_RAT	2;2	2;2	2;2	tr|F1M7U7|F1M7U7_RAT Tyrosine-protein kinase receptor TYRO3 OS=Rattus norvegicus OX=10116 GN=Tyro3 PE=1 SV=1;sp|P55146|TYRO3_RAT Tyrosine-protein kinase receptor TYRO3 OS=Rattus norvegicus OX=10116 GN=Tyro3 PE=1 SV=1	2	2	2	2	2	2	2	2.4	2.4	2.4	95.902	880	880;880	7							2						0	13.968	613.64	243.37	413.94	471.92	314.95	538.03	561.14	235.65	414.59	470.11	341.45	509.39	1	1	1	1	1	1	613.64	243.37	413.94	471.92	314.95	538.03	561.14	235.65	414.59	470.11	341.45	509.39	1	1	1	1	1	1	2.4	4928700	4928700	2				895	2081;10725	True;True	2127;11007	2981;15106	4117;20356	4117;20356		
sp|P55161|NCKP1_RAT;tr|F1LSM5|F1LSM5_RAT;tr|D3Z8V4|D3Z8V4_RAT;tr|A0A0G2JUF9|A0A0G2JUF9_RAT	sp|P55161|NCKP1_RAT;tr|F1LSM5|F1LSM5_RAT	29;27;1;1	29;27;1;1	29;27;1;1	sp|P55161|NCKP1_RAT Nck-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Nckap1 PE=2 SV=1;tr|F1LSM5|F1LSM5_RAT Nck-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Nckap1 PE=1 SV=3	4	29	29	29	29	29	29	26.6	26.6	26.6	128.86	1128	1128;1093;1106;1134	6.82	2	2	5	2	1	7	4	1	5	5	6		0	234.94	358070	320190	299930	281510	292160	377250	327600	303510	309330	285040	305420	359080	33	33	33	33	33	33	358070	320190	299930	281510	292160	377250	327600	303510	309330	285040	305420	359080	33	33	33	33	33	33	26.6	1910300000	1910300000	51				896	85;1278;1279;1442;2512;4819;5001;5939;5982;7164;10527;15454;16640;17099;17240;17576;18177;18595;19061;19270;20664;23015;23023;23029;24126;25155;25156;25891;25892	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	81;1293;1294;1460;2558;4923;5108;5109;6070;6113;7339;10804;15886;17100;17571;17716;18058;18735;18736;19238;19712;19935;21371;23767;23775;23781;24904;25971;25972;26738;26739	105;106;1766;1767;1991;3513;6874;7101;7102;8396;8456;10028;10029;14843;21766;23282;23886;24064;24531;25460;25461;25462;25463;26223;26224;26225;26839;27170;27171;29101;32165;32173;32174;32181;33549;35080;35081;35082;36105;36106	150;151;2391;2392;2711;2712;2713;4782;9359;9659;9660;11378;11464;13462;13463;19997;29765;31797;32560;32561;32796;32797;33442;34757;34758;34759;34760;34761;34762;34763;35935;35936;35937;35938;36704;37182;37183;37184;39779;43822;43823;43831;43832;43833;43841;45566;47650;47651;47652;48993;48994	150;2391;2392;2711;4782;9359;9659;11378;11464;13462;19997;29765;31797;32560;32797;33442;34760;35936;36704;37184;39779;43822;43833;43841;45566;47650;47652;48993;48994	443;444;445	192;193;338
tr|Q5U362|Q5U362_RAT;sp|P55260|ANXA4_RAT	tr|Q5U362|Q5U362_RAT;sp|P55260|ANXA4_RAT	6;6	6;6	6;6	tr|Q5U362|Q5U362_RAT Annexin OS=Rattus norvegicus OX=10116 GN=Anxa4 PE=1 SV=1;sp|P55260|ANXA4_RAT Annexin A4 OS=Rattus norvegicus OX=10116 GN=Anxa4 PE=1 SV=3	2	6	6	6	6	6	6	21.9	21.9	21.9	35.893	319	319;319	6.33			1		1	1	2			1			0	39.239	55690	41261	52492	38135	49436	53482	50943	39379	52838	39414	50886	51120	4	4	4	4	4	4	55690	41261	52492	38135	49436	53482	50943	39379	52838	39414	50886	51120	4	4	4	4	4	4	21.9	62028000	62028000	7				897	302;3791;12561;18820;18994;22126	True;True;True;True;True;True	304;3869;12914;19465;19644;22862	396;5348;17774;26517;26752;31058	536;7273;24178;36297;36588;42378;42379	536;7273;24178;36297;36588;42379		
sp|P55280|CADH6_RAT	sp|P55280|CADH6_RAT	5	1	1	sp|P55280|CADH6_RAT Cadherin-6 OS=Rattus norvegicus OX=10116 GN=Cdh6 PE=1 SV=1	1	5	1	1	5	1	1	6.5	1.8	1.8	88.34	789	789	5					1								0.0035783	7.0914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0	0	1				898	6369;6589;13153;15610;26818	False;False;True;False;False	6519;6742;13516;16047;27697	8966;9239;18653;21971;37451	12136;12467;25533;30090;50805	12136;12467;25533;30090;50805		
sp|P56522|ADRO_RAT	sp|P56522|ADRO_RAT	15	15	15	sp|P56522|ADRO_RAT NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Fdxr PE=1 SV=1	1	15	15	15	15	15	15	35.6	35.6	35.6	54.362	494	494	6.5	2	2	1		2	2	1	2	3			3	0	117.8	116400	105260	100310	98594	99948	125520	106500	99790	103390	99538	104460	119540	11	11	11	11	11	11	116400	105260	100310	98594	99948	125520	106500	99790	103390	99538	104460	119540	11	11	11	11	11	11	35.6	617180000	617180000	21				899	1003;1004;1189;6287;6290;7508;9668;9789;12368;15064;15388;17194;23556;24473;24541	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1014;1015;1201;6425;6428;7691;9923;10047;12702;15485;15816;17669;24324;25265;25332	1362;1363;1639;8822;8825;10465;13708;13876;17449;17450;21230;21664;24002;32848;32849;32850;34113;34205	1799;1800;2210;11919;11922;14019;14020;18515;18739;23667;23668;23669;29050;29622;32706;32707;44685;44686;44687;46342;46470	1799;1800;2210;11919;11922;14020;18515;18739;23669;29050;29622;32706;44686;46342;46470		
sp|P56536|KIF5C_RAT	sp|P56536|KIF5C_RAT	9	1	1	sp|P56536|KIF5C_RAT Kinesin heavy chain isoform 5C (Fragment) OS=Rattus norvegicus OX=10116 GN=Kif5c PE=1 SV=2	1	9	1	1	9	1	1	45.2	4.6	4.6	27.165	239	239	11											2		0.0033241	7.1754	15084	10988	9995.5	10507	9866.9	13285	13798	10429	10366	10557	10379	12634	2	2	2	2	2	2	15084	10988	9995.5	10507	9866.9	13285	13798	10429	10366	10557	10379	12634	2	2	2	2	2	2	45.2	52076000	52076000	2				900	4813;7993;8227;8549;11328;15534;17655;25030;25570	False;False;False;False;False;False;False;False;True	4917;8193;8433;8759;11631;11632;15966;18137;25837;25838;26404	6867;11105;11444;12055;15975;15976;15977;15978;21862;24618;24619;34879;34880;35640;35641	9352;14901;15396;16200;21599;21600;21601;21602;29898;33542;33543;33544;47367;47368;48381;48382	9352;14901;15396;16200;21602;29898;33542;47368;48382	446;447	96;198
sp|P56571|ES1_RAT	sp|P56571|ES1_RAT	14	14	14	sp|P56571|ES1_RAT ES1 protein homolog, mitochondrial OS=Rattus norvegicus OX=10116 PE=1 SV=2	1	14	14	14	14	14	14	58.3	58.3	58.3	28.172	266	266	6.29	4	1	3	2	2		4	2	3	5	2		0	323.31	472990	439190	407910	403030	399120	543000	432760	416140	421250	406610	419050	516270	28	28	28	28	28	28	472990	439190	407910	403030	399120	543000	432760	416140	421250	406610	419050	516270	28	28	28	28	28	28	58.3	5114600000	5114600000	44				901	8710;8846;8847;10298;10299;10395;13002;14431;19186;19187;19659;27519;27591;28575	True;True;True;True;True;True;True;True;True;True;True;True;True;True	8923;9063;9064;9065;10566;10567;10669;13364;14827;19841;19842;20336;28433;28505;29518	12268;12455;12456;12457;12458;12459;12460;14522;14523;14656;14657;14658;14659;18428;20340;20341;27037;27038;27039;27040;27688;27689;38434;38435;38525;38526;39893;39894	16481;16745;16746;16747;16748;16749;16750;16751;19554;19555;19730;19731;19732;19733;19734;19735;19736;19737;19738;19739;25223;25224;25225;27825;27826;37005;37006;37007;37008;37009;37010;37011;37012;37864;37865;37866;37867;52163;52164;52290;52291;54155;54156;54157	16481;16749;16751;19554;19555;19732;25224;27825;37005;37012;37865;52163;52290;54156	448	85
sp|P56574|IDHP_RAT;tr|A0A0G2JUF6|A0A0G2JUF6_RAT	sp|P56574|IDHP_RAT;tr|A0A0G2JUF6|A0A0G2JUF6_RAT	23;22	23;22	21;20	sp|P56574|IDHP_RAT Isocitrate dehydrogenase [NADP], mitochondrial OS=Rattus norvegicus OX=10116 GN=Idh2 PE=1 SV=2;tr|A0A0G2JUF6|A0A0G2JUF6_RAT Isocitrate dehydrogenase [NADP] OS=Rattus norvegicus OX=10116 GN=Idh2 PE=1 SV=1	2	23	23	21	23	23	21	46.7	46.7	45.1	50.967	452	452;427	6.34	4		6	4	3	2	2		6	3	1	4	0	317.8	356270	332490	315490	288790	304460	394450	325970	315130	324840	292910	318130	375420	37	37	37	37	37	37	356270	332490	315490	288790	304460	394450	325970	315130	324840	292910	318130	375420	37	37	37	37	37	37	46.7	2642400000	2642400000	54				902	2678;3797;4462;7257;7639;9277;9908;10547;12194;12240;14875;15651;16392;17501;18904;18905;25061;26686;26828;26858;28808;29074;29075	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2727;3875;4559;7435;7827;9505;10169;10825;12523;12569;15286;16089;16090;16848;17982;19551;19552;25874;27564;27709;27741;29759;30032;30033	3714;5354;5355;6304;10147;10625;13099;13100;14028;14029;14868;17216;17265;20936;22025;22026;22027;22028;22976;22977;22978;24422;26622;26623;26624;26625;34947;34948;34949;37257;37467;37520;40250;40609;40610	5035;5036;7279;7280;8586;13612;14226;14227;14228;17609;17610;17611;18933;18934;18935;18936;18937;20030;20031;20032;20033;23368;23429;28652;30167;30168;30169;30170;30171;30172;30173;31385;31386;31387;31388;31389;31390;31391;31392;33301;36430;36431;36432;36433;47464;47465;47466;47467;50540;50831;50899;54689;55168;55169	5035;7279;8586;13612;14227;17611;18936;20030;23368;23429;28652;30172;31385;33301;36432;36433;47464;50540;50831;50899;54689;55168;55169	449	293
tr|A0A0G2K1I6|A0A0G2K1I6_RAT;sp|P56603|SCAM1_RAT;tr|A0A0G2JY82|A0A0G2JY82_RAT	tr|A0A0G2K1I6|A0A0G2K1I6_RAT;sp|P56603|SCAM1_RAT;tr|A0A0G2JY82|A0A0G2JY82_RAT	11;11;10	11;11;10	11;11;10	tr|A0A0G2K1I6|A0A0G2K1I6_RAT Secretory carrier-associated membrane protein OS=Rattus norvegicus OX=10116 GN=Scamp1 PE=1 SV=1;sp|P56603|SCAM1_RAT Secretory carrier-associated membrane protein 1 OS=Rattus norvegicus OX=10116 GN=Scamp1 PE=1 SV=1;tr|A0A0G2JY82	3	11	11	11	11	11	11	44.1	44.1	44.1	33.955	304	304;338;321	7.76			4	1	1	2	1		5	2	2	3	0	212.49	175320	155830	156930	136730	156640	172650	160400	147880	160750	139300	162050	164950	17	17	17	17	17	17	175320	155830	156930	136730	156640	172650	160400	147880	160750	139300	162050	164950	17	17	17	17	17	17	44.1	1022300000	1022300000	25				903	98;2253;5649;5650;6305;6603;18243;21378;21883;26075;26323	True;True;True;True;True;True;True;True;True;True;True	93;2298;2299;5770;5771;6448;6449;6756;18811;18812;22102;22616;26927;27189	119;3196;3197;3198;3199;7980;7981;7982;8864;8865;8866;9253;9254;25557;25558;25559;30084;30736;36340;36341;36732	166;4391;4392;4393;4394;4395;4396;4397;10821;10822;10823;11998;11999;12000;12484;12485;34879;34880;34881;41132;41967;49288;49289;49832;49833	166;4397;10821;10823;12000;12484;34880;41132;41967;49288;49832	450;451;452	64;108;274
sp|P56819|BACE1_RAT	sp|P56819|BACE1_RAT	3	3	3	sp|P56819|BACE1_RAT Beta-secretase 1 OS=Rattus norvegicus OX=10116 GN=Bace1 PE=2 SV=1	1	3	3	3	3	3	3	5.8	5.8	5.8	55.806	501	501	8.33						1	1					1	0	19.672	13815	12112	12766	11142	11318	14330	12640	11504	13035	11325	11832	13646	1	1	1	1	1	1	13815	12112	12766	11142	11318	14330	12640	11504	13035	11325	11832	13646	1	1	1	1	1	1	5.8	13933000	13933000	3				904	14418;22670;24231	True;True;True	14814;23417;25010	20327;31743;33671	27809;43292;45725	27809;43292;45725		
tr|A0A0G2JSQ0|A0A0G2JSQ0_RAT;sp|P56932|2ABD_RAT;tr|Z4YNW7|Z4YNW7_RAT;sp|P36877|2ABB_RAT;tr|A0A0G2K165|A0A0G2K165_RAT	tr|A0A0G2JSQ0|A0A0G2JSQ0_RAT;sp|P56932|2ABD_RAT;tr|Z4YNW7|Z4YNW7_RAT;sp|P36877|2ABB_RAT;tr|A0A0G2K165|A0A0G2K165_RAT	6;6;4;4;4	3;3;1;1;1	2;2;0;0;0	tr|A0A0G2JSQ0|A0A0G2JSQ0_RAT Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B OS=Rattus norvegicus OX=10116 GN=Ppp2r2d PE=1 SV=1;sp|P56932|2ABD_RAT Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Ratt	5	6	3	2	6	3	2	15.9	6.8	5.1	51.973	453	453;453;420;443;454	5			1	1				1					0	20.373	35537	29134	32918	24794	28863	34938	32511	27719	33389	25504	29956	33304	3	3	3	3	3	3	35537	29134	32918	24794	28863	34938	32511	27719	33389	25504	29956	33304	3	3	3	3	3	3	15.9	34510000	34510000	3				905	670;4867;7400;8741;22171;22840	True;True;True;False;False;False	675;4972;7579;8953;22907;23589	905;6940;10331;12304;31110;31111;31961	1207;9446;13845;16526;42441;42442;42443;42444;43574	1207;9446;13845;16526;42444;43574		
sp|P57093|PAHX_RAT	sp|P57093|PAHX_RAT	2	2	2	sp|P57093|PAHX_RAT Phytanoyl-CoA dioxygenase, peroxisomal OS=Rattus norvegicus OX=10116 GN=Phyh PE=1 SV=2	1	2	2	2	2	2	2	8.9	8.9	8.9	38.588	338	338	5.5			1					1					0	14.146	2095.9	1443.4	2332.1	1855.2	1708.9	2391.2	1917.1	1385.9	2320.5	1893.7	1802.4	2272.2	1	1	1	1	1	1	2095.9	1443.4	2332.1	1855.2	1708.9	2391.2	1917.1	1385.9	2320.5	1893.7	1802.4	2272.2	1	1	1	1	1	1	8.9	12937000	12937000	2				906	8604;18471	True;True	8817;19107	12137;26051	16311;35707	16311;35707		
tr|A0A0G2K6H2|A0A0G2K6H2_RAT;sp|P57113|MAAI_RAT	tr|A0A0G2K6H2|A0A0G2K6H2_RAT;sp|P57113|MAAI_RAT	5;5	5;5	5;5	tr|A0A0G2K6H2|A0A0G2K6H2_RAT Maleylacetoacetate isomerase OS=Rattus norvegicus OX=10116 GN=Gstz1 PE=1 SV=1;sp|P57113|MAAI_RAT Maleylacetoacetate isomerase OS=Rattus norvegicus OX=10116 GN=Gstz1 PE=1 SV=2	2	5	5	5	5	5	5	29.3	29.3	29.3	23.862	215	215;216	6.73		1	2	3				1			2	2	0	55.16	134740	93732	128160	114650	120740	381550	123250	89643	128880	116440	134340	358490	19	19	19	19	19	19	134740	93732	128160	114650	120740	381550	123250	89643	128880	116440	134340	358490	19	19	19	19	19	19	29.3	491960000	491960000	21				907	1357;3622;9103;16189;26750	True;True;True;True;True	1374;3692;9328;16641;27629	1883;1884;1885;1886;1887;1888;5104;12843;12844;22736;37348	2554;2555;2556;2557;2558;2559;2560;2561;2562;2563;2564;2565;2566;2567;6949;6950;17276;17277;17278;31092;50668	2554;6949;17277;31092;50668		
sp|P57769|SNX16_RAT;tr|A0A0G2JT47|A0A0G2JT47_RAT	sp|P57769|SNX16_RAT;tr|A0A0G2JT47|A0A0G2JT47_RAT	1;1	1;1	1;1	sp|P57769|SNX16_RAT Sorting nexin-16 OS=Rattus norvegicus OX=10116 GN=Snx16 PE=1 SV=2;tr|A0A0G2JT47|A0A0G2JT47_RAT Sorting nexin-16 OS=Rattus norvegicus OX=10116 GN=Snx16 PE=1 SV=1	2	1	1	1	1	1	1	4.4	4.4	4.4	38.848	344	344;356	11											1		0.0095435	6.163	5226.1	4785.3	4539	3764.1	4619	5115.2	4781.4	4536.1	4667.1	3851.6	4767.6	4886.4	1	1	1	1	1	1	5226.1	4785.3	4539	3764.1	4619	5115.2	4781.4	4536.1	4667.1	3851.6	4767.6	4886.4	1	1	1	1	1	1	4.4	5387800	5387800	1				908	8126	True	8329	11281	15135	15135		
tr|F1LNC4|F1LNC4_RAT;sp|P58200|VTI1B_RAT	tr|F1LNC4|F1LNC4_RAT;sp|P58200|VTI1B_RAT	4;4	4;4	4;4	tr|F1LNC4|F1LNC4_RAT Vesicle transport through interaction with t-SNAREs homolog 1B OS=Rattus norvegicus OX=10116 GN=Vti1b PE=1 SV=2;sp|P58200|VTI1B_RAT Vesicle transport through interaction with t-SNAREs homolog 1B OS=Rattus norvegicus OX=10116 GN=Vti1b P	2	4	4	4	4	4	4	22.9	22.9	22.9	23.096	201	201;232	6.25	1					1		1		1			0	51.067	19793	16673	18804	16092	16999	23002	18108	15859	19107	16387	17796	21872	3	3	3	3	3	3	19793	16673	18804	16092	16999	23002	18108	15859	19107	16387	17796	21872	3	3	3	3	3	3	22.9	29285000	29285000	4				909	2803;7507;17489;23978	True;True;True;True	2854;7690;17970;24752	3879;10464;24402;33356	5240;14018;33275;45322	5240;14018;33275;45322		
tr|F1LN34|F1LN34_RAT;sp|P58366|ANKH_RAT	tr|F1LN34|F1LN34_RAT;sp|P58366|ANKH_RAT	1;1	1;1	1;1	tr|F1LN34|F1LN34_RAT Progressive ankylosis protein homolog OS=Rattus norvegicus OX=10116 GN=Ankh PE=1 SV=2;sp|P58366|ANKH_RAT Progressive ankylosis protein homolog OS=Rattus norvegicus OX=10116 GN=Ankh PE=2 SV=1	2	1	1	1	1	1	1	4.3	4.3	4.3	54.294	492	492;492	9									1				0.0031348	8.3514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0	0	1				910	7786	True	7977	10824	14521	14521		
tr|E9PT82|E9PT82_RAT;sp|P58405|STRN3_RAT	tr|E9PT82|E9PT82_RAT;sp|P58405|STRN3_RAT	4;4	4;4	4;4	tr|E9PT82|E9PT82_RAT Striatin-3 OS=Rattus norvegicus OX=10116 GN=Strn3 PE=1 SV=1;sp|P58405|STRN3_RAT Striatin-3 OS=Rattus norvegicus OX=10116 GN=Strn3 PE=1 SV=2	2	4	4	4	4	4	4	7.9	7.9	7.9	77.628	710	710;794	6		1	2							1		1	0	57.608	24454	21239	19384	19615	21186	24384	22373	20129	20061	19795	22004	23271	2	2	2	2	2	2	24454	21239	19384	19615	21186	24384	22373	20129	20061	19795	22004	23271	2	2	2	2	2	2	7.9	94924000	94924000	5				911	3203;15915;21803;28554	True;True;True;True	3262;16362;22535;29497	4511;4512;22368;30614;39865	6137;6138;30597;41790;54120	6137;30597;41790;54120		
