Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Prep31	Razor + unique peptides Prep31	Unique peptides Prep31	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 Prep31	Reporter intensity corrected 2 Prep31	Reporter intensity corrected 3 Prep31	Reporter intensity corrected 4 Prep31	Reporter intensity corrected 5 Prep31	Reporter intensity corrected 6 Prep31	Reporter intensity 1 Prep31	Reporter intensity 2 Prep31	Reporter intensity 3 Prep31	Reporter intensity 4 Prep31	Reporter intensity 5 Prep31	Reporter intensity 6 Prep31	Reporter intensity count 1 Prep31	Reporter intensity count 2 Prep31	Reporter intensity count 3 Prep31	Reporter intensity count 4 Prep31	Reporter intensity count 5 Prep31	Reporter intensity count 6 Prep31	Sequence coverage Prep31 [%]	Intensity	Intensity Prep31	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P16261|GDC_RAT;tr|F1MA22|F1MA22_RAT;tr|A0A0H2UH92|A0A0H2UH92_RAT	sp|P16261|GDC_RAT;tr|F1MA22|F1MA22_RAT;tr|A0A0H2UH92|A0A0H2UH92_RAT	1;1;1	1;1;1	1;1;1	sp|P16261|GDC_RAT Graves disease carrier protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Slc25a16 PE=2 SV=1;tr|F1MA22|F1MA22_RAT Graves disease carrier protein OS=Rattus norvegicus OX=10116 GN=Slc25a16 PE=1 SV=2;tr|A0A0H2UH92|A0A0H2UH92_RAT Graves dise	3	1	1	1	1	1	1	4	4	4	35.056	322	322;331;1215	4				1									0	3.1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11130000	11130000	1				640	9984	True	10362	15035	20577	20577		
sp|P16409|MYL3_RAT;sp|P02600|MYL1_RAT	sp|P16409|MYL3_RAT;sp|P02600|MYL1_RAT	3;2	2;2	2;2	sp|P16409|MYL3_RAT Myosin light chain 3 OS=Rattus norvegicus OX=10116 GN=Myl3 PE=1 SV=2;sp|P02600|MYL1_RAT Myosin light chain 1/3, skeletal muscle isoform OS=Rattus norvegicus OX=10116 GN=Myl1 PE=1 SV=2	2	3	2	2	3	2	2	12	8	8	22.156	200	200;189	6.5		1									1		0	36.51	19640	20859	20349	23104	22449	14496	17972	19761	20974	23141	23007	14098	1	1	1	1	1	1	19640	20859	20349	23104	22449	14496	17972	19761	20974	23141	23007	14098	1	1	1	1	1	1	12	71509000	71509000	2				641	5633;6276;30171	False;True;True	5844;6512;31593	8689;9619;44906	11994;11995;13213;61148	11995;13213;61148		
sp|P16446|PIPNA_RAT;tr|R9PXS4|R9PXS4_RAT	sp|P16446|PIPNA_RAT;tr|R9PXS4|R9PXS4_RAT	19;17	19;17	18;16	sp|P16446|PIPNA_RAT Phosphatidylinositol transfer protein alpha isoform OS=Rattus norvegicus OX=10116 GN=Pitpna PE=1 SV=2;tr|R9PXS4|R9PXS4_RAT Phosphatidylinositol transfer protein alpha isoform OS=Rattus norvegicus OX=10116 GN=Pitpna PE=1 SV=1	2	19	19	18	19	19	18	64.2	64.2	61.3	31.907	271	271;271	7.06	5		2	3	4	2	1	4		4	2	7	0	212.44	261310	278780	242020	292180	285920	186990	239120	263650	252110	291870	293010	181740	28	28	28	28	28	27	261310	278780	242020	292180	285920	186990	239120	263650	252110	291870	293010	181740	28	28	28	28	28	27	64.2	5795600000	5795600000	49				642	654;3619;11147;13066;13582;15142;17201;17395;20587;21346;21347;22989;29449;29450;30097;30098;30622;32392;32393	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	666;3738;11589;13597;14134;15763;17901;18103;21491;21492;22383;22384;24098;30826;30827;30828;30829;31515;31516;32064;33911;33912;33913	989;5360;16873;19640;19641;20396;22867;22868;25778;26025;30695;30696;30697;30698;30699;32055;32056;32057;34608;43756;43757;43758;43759;43760;44792;44793;45551;45552;45553;45554;45555;48207;48208;48209	1340;7201;7202;23151;23152;26878;26879;26880;26881;27896;27897;31406;31407;31408;31409;35300;35613;35614;35615;41935;41936;41937;41938;41939;41940;41941;43847;43848;43849;43850;47610;59594;59595;59596;59597;59598;60999;61000;61001;62037;62038;62039;62040;62041;62042;65751;65752;65753;65754	1340;7202;23152;26878;27896;31406;35300;35614;41939;43847;43849;47610;59595;59596;61000;61001;62037;65753;65754	407;408;409	75;104;241
sp|P16617|PGK1_RAT;tr|M0R6Y8|M0R6Y8_RAT;tr|A0A096MJL6|A0A096MJL6_RAT	sp|P16617|PGK1_RAT;tr|M0R6Y8|M0R6Y8_RAT	30;16;3	30;16;3	23;12;2	sp|P16617|PGK1_RAT Phosphoglycerate kinase 1 OS=Rattus norvegicus OX=10116 GN=Pgk1 PE=1 SV=2;tr|M0R6Y8|M0R6Y8_RAT Phosphoglycerate kinase OS=Rattus norvegicus OX=10116 PE=3 SV=1	3	30	30	23	30	30	23	69.5	69.5	53.7	44.538	417	417;395;57	6.16	6	4	8	12	8	6	13	3	10		6	6	0	323.31	1203000	1275600	1165600	1438800	1278900	889250	1100800	1207300	1209700	1433600	1318300	862210	91	91	91	91	90	91	1203000	1275600	1165600	1438800	1278900	889250	1100800	1207300	1209700	1433600	1318300	862210	91	91	91	91	90	91	69.5	39756000000	39756000000	134				643	396;1008;1252;1648;1649;6956;8275;8648;8649;14629;14913;14914;15411;16478;17465;21989;23207;25969;25991;27305;27306;28050;29915;30700;30948;30959;31561;32319;32453;33319	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	398;1031;1280;1281;1694;1695;7213;8595;8979;8980;15233;15527;15528;16045;17141;18176;23057;24325;27167;27189;27190;28567;28568;28569;28570;29348;31321;31322;32146;32406;32407;32419;33049;33836;33974;34886	576;1487;1872;1873;1874;1875;1876;1877;1878;2524;2525;2526;10593;10594;12465;12973;12974;12975;12976;12977;22024;22477;22478;22479;22480;22481;22482;22483;22484;22485;22486;22487;23286;23287;24711;26122;26123;26124;26125;26126;26127;26128;26129;33061;33062;33063;34907;34908;38667;38690;38691;40489;40490;40491;40492;40493;40494;41643;44498;44499;44500;44501;44502;44503;45664;46002;46003;46004;46005;46019;46020;46021;46898;46899;46900;46901;46902;46903;48109;48310;49726;49727	790;2005;2006;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542;2543;2544;2545;2546;3440;3441;3442;14527;14528;14529;14530;14531;16981;17672;17673;17674;17675;17676;17677;17678;17679;17680;17681;17682;30205;30851;30852;30853;30854;30855;30856;30857;30858;30859;30860;30861;30862;30863;30864;30865;30866;30867;30868;30869;31980;31981;31982;31983;33865;35747;35748;35749;35750;35751;35752;35753;35754;35755;35756;35757;45409;45410;45411;45412;45413;47991;47992;52811;52839;52840;52841;55137;55138;55139;55140;55141;55142;55143;55144;55145;55146;55147;56721;56722;60615;60616;60617;60618;60619;60620;60621;60622;60623;60624;62198;62657;62658;62659;62660;62661;62679;62680;62681;62682;62683;62684;62685;63870;63871;63872;63873;63874;63875;63876;63877;65618;65619;65894;67797;67798	790;2006;2536;3440;3441;14531;16981;17672;17682;30205;30852;30853;31981;33865;35757;45411;47991;52811;52841;55137;55147;56722;60622;62198;62660;62683;63876;65618;65894;67797	410;411;412;413;414;415	29;61;72;176;251;356
tr|F1LRZ7|F1LRZ7_RAT;sp|P16884|NFH_RAT	tr|F1LRZ7|F1LRZ7_RAT;sp|P16884|NFH_RAT	17;17	15;15	15;15	tr|F1LRZ7|F1LRZ7_RAT Neurofilament heavy polypeptide OS=Rattus norvegicus OX=10116 GN=Nefh PE=1 SV=1;sp|P16884|NFH_RAT Neurofilament heavy polypeptide OS=Rattus norvegicus OX=10116 GN=Nefh PE=1 SV=4	2	17	15	15	17	15	15	17	15.1	15.1	114.41	1064	1064;1072	5.12	1	1	3	4	1	2	2				1	1	0	156.39	127110	111530	119350	131340	101240	106480	116290	105960	122220	131290	106450	101860	12	12	12	12	12	12	127110	111530	119350	131340	101240	106480	116290	105960	122220	131290	106450	101860	12	12	12	12	12	12	17	577930000	577930000	17				644	45;242;7390;8139;8241;12856;13724;17214;20181;23518;23521;24628;24795;25101;26870;29200;32193	True;True;True;False;True;True;True;True;False;True;True;True;True;True;True;True;True	40;240;7678;8455;8561;13380;14279;17915;20997;24644;24647;25780;25951;26264;28114;30563;33705	50;337;11217;12290;12291;12425;19352;20592;25794;25795;29957;29958;35286;35289;36844;37061;37475;39892;43342;47932	61;443;15348;16751;16752;16753;16754;16921;26513;28164;35318;35319;40898;40899;40900;48443;48446;50487;50488;50761;51270;54358;59044;65381	61;443;15348;16753;16921;26513;28164;35319;40898;48443;48446;50487;50761;51270;54358;59044;65381		
sp|P16970|ABCD3_RAT	sp|P16970|ABCD3_RAT	12	12	12	sp|P16970|ABCD3_RAT ATP-binding cassette sub-family D member 3 OS=Rattus norvegicus OX=10116 GN=Abcd3 PE=1 SV=3	1	12	12	12	12	12	12	23.5	23.5	23.5	75.315	659	659	7.17	1		1	1	2		1	2		1	1	2	0	123.58	101020	109460	102640	129310	119450	73295	92439	103630	106340	128810	122560	71443	9	9	9	9	9	9	101020	109460	102640	129310	119450	73295	92439	103630	106340	128810	122560	71443	9	9	9	9	9	9	23.5	415750000	415750000	16				645	4932;4933;6224;8314;10555;11924;12527;13309;14873;18007;28709;33084	True;True;True;True;True;True;True;True;True;True;True;True	5112;5113;6456;8636;10961;12398;13028;13850;15486;18740;30050;34639	7564;7565;9524;12531;15925;17982;18834;20011;22415;26967;42624;49284	10372;10373;13065;17076;17077;21815;24614;25763;27391;30776;30777;36928;36929;58074;67204;67205	10372;10373;13065;17077;21815;24614;25763;27391;30776;36928;58074;67205		
sp|P16975|SPRC_RAT	sp|P16975|SPRC_RAT	3	3	3	sp|P16975|SPRC_RAT SPARC OS=Rattus norvegicus OX=10116 GN=Sparc PE=1 SV=4	1	3	3	3	3	3	3	12.3	12.3	12.3	34.296	301	301	6.67				1		1				1			0	3.8433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	59130000	59130000	3				646	22437;27861;32863	True;True;True	23522;29152;34411	33653;41369;48945	46215;56351;66755	46215;56351;66755		
sp|P17046|LAMP2_RAT	sp|P17046|LAMP2_RAT	2	2	2	sp|P17046|LAMP2_RAT Lysosome-associated membrane glycoprotein 2 OS=Rattus norvegicus OX=10116 GN=Lamp2 PE=1 SV=3	1	2	2	2	2	2	2	4.6	4.6	4.6	45.155	411	411	8.5								1	1				0	3.9105	18056	16264	16720	19056	18573	13334	16520	15438	17180	19084	19080	12912	1	1	1	1	1	1	18056	16264	16720	19056	18573	13334	16520	15438	17180	19084	19080	12912	1	1	1	1	1	1	4.6	9866600	9866600	3				647	27918;32954	True;True	29211;34506	41446;49116	56461;66987;66988	56461;66987		
tr|D4A6G6|D4A6G6_RAT;sp|P17074|RS19_RAT;tr|F1M8C7|F1M8C7_RAT;tr|A0A0H2UI38|A0A0H2UI38_RAT;tr|D3ZGN8|D3ZGN8_RAT;tr|F1M764|F1M764_RAT;tr|D3ZUD7|D3ZUD7_RAT;tr|F1LYF3|F1LYF3_RAT;tr|D3ZSH6|D3ZSH6_RAT	tr|D4A6G6|D4A6G6_RAT;sp|P17074|RS19_RAT;tr|F1M8C7|F1M8C7_RAT;tr|A0A0H2UI38|A0A0H2UI38_RAT;tr|D3ZGN8|D3ZGN8_RAT;tr|F1M764|F1M764_RAT;tr|D3ZUD7|D3ZUD7_RAT;tr|F1LYF3|F1LYF3_RAT	5;5;5;5;4;3;3;3;1	5;5;5;5;4;3;3;3;1	5;5;5;5;4;3;3;3;1	tr|D4A6G6|D4A6G6_RAT Ribosomal protein S19-like OS=Rattus norvegicus OX=10116 GN=LOC100362339 PE=4 SV=1;sp|P17074|RS19_RAT 40S ribosomal protein S19 OS=Rattus norvegicus OX=10116 GN=Rps19 PE=2 SV=3;tr|F1M8C7|F1M8C7_RAT Uncharacterized protein OS=Rattus nor	9	5	5	5	5	5	5	26.2	26.2	26.2	16.117	145	145;145;149;157;152;150;151;156;147	6.83					2	1	1		2				0	8.9609	19796	19579	18172	23099	23117	14555	18113	18543	18853	23032	23647	14171	1	1	1	1	1	1	19796	19579	18172	23099	23117	14555	18113	18543	18853	23032	23647	14171	1	1	1	1	1	1	26.2	147580000	147580000	6				648	1531;13272;18096;24562;30975	True;True;True;True;True	1570;13811;18830;25714;32436	2284;19965;27075;27076;36746;46041	3062;27335;37060;37061;50361;62708	3062;27335;37060;50361;62708		
tr|A0A0G2JXD0|A0A0G2JXD0_RAT;sp|P17077|RL9_RAT;tr|M0R6B4|M0R6B4_RAT;tr|M0RBD4|M0RBD4_RAT;tr|F1M7A9|F1M7A9_RAT;tr|A0A0G2JX41|A0A0G2JX41_RAT	tr|A0A0G2JXD0|A0A0G2JXD0_RAT;sp|P17077|RL9_RAT;tr|M0R6B4|M0R6B4_RAT;tr|M0RBD4|M0RBD4_RAT;tr|F1M7A9|F1M7A9_RAT	3;3;3;3;2;1	3;3;3;3;2;1	2;2;2;2;1;0	tr|A0A0G2JXD0|A0A0G2JXD0_RAT 60S ribosomal protein L9 pseudogene OS=Rattus norvegicus OX=10116 GN=LOC103692829 PE=4 SV=1;sp|P17077|RL9_RAT 60S ribosomal protein L9 OS=Rattus norvegicus OX=10116 GN=Rpl9 PE=1 SV=1;tr|M0R6B4|M0R6B4_RAT Uncharacterized protein	6	3	3	2	3	3	2	13.3	13.3	5.9	21.424	188	188;192;200;201;200;200	6.67			1		1							1	0	14.668	29215	29059	27163	31570	25766	21183	26731	27524	28112	31502	26794	20413	1	1	1	1	1	1	29215	29059	27163	31570	25766	21183	26731	27524	28112	31502	26794	20413	1	1	1	1	1	1	13.3	136430000	136430000	3				649	3798;8780;15493	True;True;True	3923;9115;16130	5741;13147;23405	7722;17906;32157	7722;17906;32157		
sp|P17105|IP3KA_RAT;sp|P42335|IP3KB_RAT	sp|P17105|IP3KA_RAT	8;1	8;1	8;1	sp|P17105|IP3KA_RAT Inositol-trisphosphate 3-kinase A OS=Rattus norvegicus OX=10116 GN=Itpka PE=1 SV=3	2	8	8	8	8	8	8	20.7	20.7	20.7	50.87	459	459;934	6.5	1				1		4		2				0	54.096	74202	74375	63903	78098	73904	63181	67895	70357	66663	77929	76392	60806	4	4	4	4	4	4	74202	74375	63903	78098	73904	63181	67895	70357	66663	77929	76392	60806	4	4	4	4	4	4	20.7	308680000	308680000	8				650	156;1168;6244;18594;20590;28707;29297;33375	True;True;True;True;True;True;True;True	152;1191;6476;19338;21495;30048;30663;34947	211;1713;9554;27716;30702;42622;43492;49978	269;2306;13122;37896;41944;58072;59241;68209	269;2306;13122;37896;41944;58072;59241;68209		
sp|P17178|CP27A_RAT	sp|P17178|CP27A_RAT	1	1	1	sp|P17178|CP27A_RAT Sterol 26-hydroxylase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cyp27a1 PE=1 SV=1	1	1	1	1	1	1	1	1.9	1.9	1.9	60.732	533	533	12												1	0.0071346	1.5202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	1				651	20210	True	21029	30000	40960	40960	416;417	1;7
sp|P17220|PSA2_RAT	sp|P17220|PSA2_RAT	7	7	7	sp|P17220|PSA2_RAT Proteasome subunit alpha type-2 OS=Rattus norvegicus OX=10116 GN=Psma2 PE=1 SV=3	1	7	7	7	7	7	7	37.2	37.2	37.2	25.926	234	234	7.78				2	1	1		1	1		2	1	0	174.53	73560	76532	68322	82238	72811	59526	67310	72418	71008	82029	75397	57374	9	9	9	9	9	9	73560	76532	68322	82238	72811	59526	67310	72418	71008	82029	75397	57374	9	9	9	9	9	9	37.2	582170000	582170000	10				652	253;11944;12398;16750;24600;25686;33119	True;True;True;True;True;True;True	251;12419;12890;12891;17421;25752;26873;34681	350;18006;18670;18671;25079;36799;36800;38264;49335	462;24639;25548;25549;34327;50428;50429;52287;52288;67275	462;24639;25549;34327;50428;52288;67275	418	79
sp|P17256|KIME_RAT;tr|M0R5W4|M0R5W4_RAT	sp|P17256|KIME_RAT;tr|M0R5W4|M0R5W4_RAT	4;2	4;2	4;2	sp|P17256|KIME_RAT Mevalonate kinase OS=Rattus norvegicus OX=10116 GN=Mvk PE=1 SV=1;tr|M0R5W4|M0R5W4_RAT Mevalonate kinase OS=Rattus norvegicus OX=10116 GN=Mvk PE=1 SV=1	2	4	4	4	4	4	4	11.9	11.9	11.9	41.987	395	395;395	7.5				1			1		1	1			0	53.447	10486	10605	9949.5	10699	10847	7744.6	9594.7	10044	10278	10752	11123	7501.4	1	1	1	1	1	1	10486	10605	9949.5	10699	10847	7744.6	9594.7	10044	10278	10752	11123	7501.4	1	1	1	1	1	1	11.9	58158000	58158000	4				653	18814;20685;24183;30598	True;True;True;True	19572;21604;25322;32038	28013;30855;36244;45511	38302;42149;49726;61974	38302;42149;49726;61974		
sp|P17425|HMCS1_RAT	sp|P17425|HMCS1_RAT	6	5	5	sp|P17425|HMCS1_RAT Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Hmgcs1 PE=1 SV=1	1	6	5	5	6	5	5	16.2	14	14	57.433	520	520	5.6		1			1	1	1	1					0	25.966	36515	36771	29553	38058	35900	32237	33412	34753	31046	37890	37170	30977	1	1	1	1	1	1	36515	36771	29553	38058	35900	32237	33412	34753	31046	37890	37170	30977	1	1	1	1	1	1	16.2	171980000	171980000	8				654	2460;17256;20396;24372;31764;33398	True;False;True;True;True;True	2548;17960;21251;25520;33259;34970	3706;25854;30311;36512;47211;50005	5064;5065;35394;41376;41377;50075;50076;64301;68244	5065;35394;41377;50075;64301;68244		
tr|G3V8L6|G3V8L6_RAT;sp|P17659|KCNA6_RAT	tr|G3V8L6|G3V8L6_RAT;sp|P17659|KCNA6_RAT	4;4	3;3	3;3	tr|G3V8L6|G3V8L6_RAT Potassium voltage-gated channel subfamily A member 6 OS=Rattus norvegicus OX=10116 GN=Kcna6 PE=3 SV=1;sp|P17659|KCNA6_RAT Potassium voltage-gated channel subfamily A member 6 OS=Rattus norvegicus OX=10116 GN=Kcna6 PE=1 SV=1	2	4	3	3	4	3	3	10.4	7.4	7.4	58.784	530	530;530	4		1		1		1							0	7.2226	1863	2131.3	2523.1	2510.6	2046.4	1984.3	1704.9	2024.8	2558.7	2524.4	2139.1	1902.3	1	1	1	1	1	1	1863	2131.3	2523.1	2510.6	2046.4	1984.3	1704.9	2024.8	2558.7	2524.4	2139.1	1902.3	1	1	1	1	1	1	10.4	38014000	38014000	3				655	23706;24384;26929;28605	False;True;True;True	24836;25532;28174;29934	35514;36528;39965;42463	48721;50098;54451;57866	48721;50098;54451;57866		
sp|P17764|THIL_RAT	sp|P17764|THIL_RAT	18	18	18	sp|P17764|THIL_RAT Acetyl-CoA acetyltransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acat1 PE=1 SV=1	1	18	18	18	18	18	18	50	50	50	44.695	424	424	6.67	3	3	5		5	9	10		5	5		6	0	323.31	553200	594790	497410	644200	595710	406680	506210	562200	520580	640990	612690	394610	54	54	54	54	54	54	553200	594790	497410	644200	595710	406680	506210	562200	520580	640990	612690	394610	54	54	54	54	54	54	50	18071000000	18071000000	75				656	3942;5830;5858;6014;6031;7166;8071;8231;9748;13201;13862;17091;17654;20605;25764;28829;31236;32476	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4070;6048;6076;6239;6256;7448;8386;8387;8551;10119;13739;14422;14423;17789;18371;21513;21514;26954;30178;32712;32713;33997	5952;5953;5954;5955;8988;9045;9243;9244;9264;10920;10921;12204;12205;12206;12413;12414;12415;14680;14681;19851;19852;19853;19854;19855;19856;19857;19858;19859;19860;20787;20788;20789;20790;25642;25643;26438;26439;26440;26441;30731;30732;30733;38389;38390;42795;42796;46440;46441;46442;48344;48345	7996;7997;7998;7999;8000;8001;12377;12378;12464;12715;12716;12717;12742;14965;14966;14967;16642;16643;16644;16907;16908;16909;16910;20101;20102;20103;20104;27178;27179;27180;27181;27182;27183;27184;27185;27186;27187;27188;27189;27190;27191;27192;28437;28438;28439;28440;28441;28442;28443;35113;35114;35115;36200;36201;36202;36203;36204;36205;41981;41982;41983;52459;52460;58292;58293;58294;58295;63280;63281;63282;63283;65941;65942;65943;65944	7998;12377;12464;12715;12742;14966;16644;16909;20101;27191;28443;35113;36203;41983;52460;58292;63282;65941	419;420;421;422	88;190;363;386
sp|P18088|DCE1_RAT;tr|B3VQJ0|B3VQJ0_RAT;tr|Q63211|Q63211_RAT	sp|P18088|DCE1_RAT;tr|B3VQJ0|B3VQJ0_RAT	13;12;1	12;11;1	12;11;1	sp|P18088|DCE1_RAT Glutamate decarboxylase 1 OS=Rattus norvegicus OX=10116 GN=Gad1 PE=2 SV=1;tr|B3VQJ0|B3VQJ0_RAT Glutamate decarboxylase 1 OS=Rattus norvegicus OX=10116 GN=Gad1 PE=2 SV=1	3	13	12	12	13	12	12	26.3	24.6	24.6	66.64	593	593;444;223	6.38	1	1	1	1		4	1	1		1		2	0	323.31	180680	181370	163600	195140	172190	136820	165320	171680	169890	194710	178190	132010	17	17	17	17	17	17	180680	181370	163600	195140	172190	136820	165320	171680	169890	194710	178190	132010	17	17	17	17	17	17	26.3	1659200000	1659200000	25				657	949;2092;3868;6551;10918;11652;11796;13995;15231;19874;21016;23721;27817	True;False;True;True;True;True;True;True;True;True;True;True;True	970;2171;3996;6796;11336;12114;12266;14557;15858;20673;22022;24851;29107	1374;1375;3212;3213;5853;10032;16449;17573;17799;21043;23030;29538;31521;35529;41313	1833;1834;1835;4398;4399;4400;4401;7866;7867;7868;13790;22540;22541;24036;24355;28817;28818;31638;40342;40343;40344;43142;43143;43144;48739;48740;56275;56276;56277	1833;4400;7866;13790;22540;24036;24355;28817;31638;40342;43143;48739;56276		
sp|P18163|ACSL1_RAT;sp|O88813|ACSL5_RAT;tr|F1LPB3|F1LPB3_RAT	sp|P18163|ACSL1_RAT	22;3;3	22;3;3	22;3;3	sp|P18163|ACSL1_RAT Long-chain-fatty-acid--CoA ligase 1 OS=Rattus norvegicus OX=10116 GN=Acsl1 PE=1 SV=1	3	22	22	22	22	22	22	31.8	31.8	31.8	78.178	699	699;683;685	7.31	3		2	1	2	3	3	3	1	6	3	2	0	132.14	252180	258210	233260	288230	269120	190580	230750	244400	242350	287410	276910	184650	15	15	15	15	15	15	252180	258210	233260	288230	269120	190580	230750	244400	242350	287410	276910	184650	15	15	15	15	15	15	31.8	1329300000	1329300000	33				658	1380;1620;4004;13548;13617;13723;14051;14661;16124;16738;18356;18628;19785;20369;21127;24853;26535;26536;27450;28712;30989;32276	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1415;1664;4136;14099;14171;14278;14614;15266;16780;17409;19097;19378;19379;20581;21220;22154;26010;27765;27766;28717;30054;32451;33791	2063;2482;6036;20356;20357;20448;20449;20591;21115;22069;24261;25065;27417;27764;27765;27766;29412;30276;31703;37140;39443;39444;39445;39446;40746;42629;46062;46063;48045	2786;3388;8115;27842;27843;27962;27963;28163;28915;28916;28917;30267;33276;34312;37514;37957;37958;37959;40169;40170;41330;43391;43392;50860;53777;53778;53779;53780;55546;58083;62735;62736;65529	2786;3388;8115;27842;27962;28163;28916;30267;33276;34312;37514;37958;40170;41330;43391;50860;53777;53778;55546;58083;62736;65529	423	432
tr|A0A0G2K7W7|A0A0G2K7W7_RAT;sp|P18265|GSK3A_RAT	tr|A0A0G2K7W7|A0A0G2K7W7_RAT;sp|P18265|GSK3A_RAT	6;6	6;6	4;4	tr|A0A0G2K7W7|A0A0G2K7W7_RAT Glycogen synthase kinase-3 alpha OS=Rattus norvegicus OX=10116 GN=Gsk3a PE=1 SV=1;sp|P18265|GSK3A_RAT Glycogen synthase kinase-3 alpha OS=Rattus norvegicus OX=10116 GN=Gsk3a PE=1 SV=1	2	6	6	4	6	6	4	18.9	18.9	15	50.796	481	481;483	6.88					4		2		1			1	0	102.16	148140	147400	136090	165420	143950	102620	135550	139580	141110	164890	148640	99398	7	7	7	7	7	7	148140	147400	136090	165420	143950	102620	135550	139580	141110	164890	148640	99398	7	7	7	7	7	7	18.9	343830000	343830000	9				659	7116;19420;26501;29152;31798;32688	True;True;True;True;True;True	7387;20198;27731;30514;33293;34225	10808;28857;39395;39396;43280;47255;48685;48686	14796;39411;53717;53718;53719;58961;64362;66389;66390	14796;39411;53718;58961;64362;66389		
tr|A0A0G2JSH4|A0A0G2JSH4_RAT;sp|P18266|GSK3B_RAT	tr|A0A0G2JSH4|A0A0G2JSH4_RAT;sp|P18266|GSK3B_RAT	6;6	4;4	1;1	tr|A0A0G2JSH4|A0A0G2JSH4_RAT Glycogen synthase kinase 3 beta, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Gsk3b PE=1 SV=1;sp|P18266|GSK3B_RAT Glycogen synthase kinase-3 beta OS=Rattus norvegicus OX=10116 GN=Gsk3b PE=1 SV=1	2	6	4	1	6	4	1	26.4	21.9	5.2	46.71	420	420;420	5.5		1			1		1	1					0	118.79	22921	21499	22025	23911	22398	17340	20972	20400	22612	23986	23097	16745	3	3	3	3	3	3	22921	21499	22025	23911	22398	17340	20972	20400	22612	23986	23097	16745	3	3	3	3	3	3	26.4	185730000	185730000	5				660	4142;5214;7116;14582;31799;32688	True;True;False;True;True;False	4284;5405;7387;15185;33294;34225	6250;8079;10808;21961;47256;48685;48686	8419;11201;11202;14796;30092;64363;66389;66390	8419;11202;14796;30092;64363;66389		
sp|P18297|SPRE_RAT;tr|D3ZT59|D3ZT59_RAT	sp|P18297|SPRE_RAT;tr|D3ZT59|D3ZT59_RAT	3;2	3;2	3;2	sp|P18297|SPRE_RAT Sepiapterin reductase OS=Rattus norvegicus OX=10116 GN=Spr PE=1 SV=1;tr|D3ZT59|D3ZT59_RAT Similar to Sepiapterin reductase (SPR) OS=Rattus norvegicus OX=10116 GN=RGD1560795 PE=4 SV=3	2	3	3	3	3	3	3	16.8	16.8	16.8	28.128	262	262;175	6.33		1					1			1			0	26.338	34728	34995	34056	42546	33973	27158	31776	33163	35186	42305	35341	26196	3	3	3	3	3	3	34728	34995	34056	42546	33973	27158	31776	33163	35186	42305	35341	26196	3	3	3	3	3	3	16.8	99905000	99905000	4				661	4666;5178;18377	True;True;True	4833;5368;19118	7194;8025;27448	9882;11138;11139;37559	9882;11138;37559		
